Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
jqTtJqGfUy1TmzkaFJPbGzvKcUF974GtB8Ks1YgHq2Li6fsWGVzQDE9q9k7mbYu9sXeBmWD1CjSTn869gDJfet1,1761666143,2025-10-28T15:42:23.000Z,TRANSFER,HiMhS6KajuD6bBeXX8XS5QXbhWAuA5tqXTJUQRkFJDuS,5G1XkiHMcdwBQKEP4PjiRHfS8iDbEkva4CMTCX4AjDeM,10000000,out,1.991,9,SOL,1.0
3mh8DjNkK78LyjeKXbixXGj4oCFBsEGPXjH2B1jcitJsTsNziemLV4c5nvhHbuv6gnRRjKMB5fFo4KKLPid8BuJW,1761664315,2025-10-28T15:11:55.000Z,TRANSFER,HiMhS6KajuD6bBeXX8XS5QXbhWAuA5tqXTJUQRkFJDuS,G2d8gJkArV5uUpKXHbjyD8Co5qffUV7ACQwegGvRXrxV,10000000,out,2.0044,9,SOL,1.0
za71ki62m24Mx2dZyhSfeAieWfhdYLJ2semZyAggjGarGuwseXgnG3qda1B1ZqcZLbVAfeya5UMmQiu8CK9B7xi,1761664052,2025-10-28T15:07:32.000Z,TRANSFER,HiMhS6KajuD6bBeXX8XS5QXbhWAuA5tqXTJUQRkFJDuS,HJv8zsCzUpnni3mk8zPLN7bkbEFHRSyR4XqniuYZfBNT,10000000,out,2.0015,9,SOL,1.0
4mJ4FHhPVTv23vLus3R5oyQtYQTV4RNNGDZEmpgK5qED4ha4XTUGk8kgCXXwJqzdwdSZVjqFLZqkYyAGam9V6C7U,1761662892,2025-10-28T14:48:12.000Z,TRANSFER,HiMhS6KajuD6bBeXX8XS5QXbhWAuA5tqXTJUQRkFJDuS,85aanAcrkDzwL1KEcv82R1WqU2Xba4Hfa1nkybR6JRW4,10000000,out,1.9879,9,SOL,1.0
44aV4sPwzL2gaNSX5ckuDXyhj2Tyvc3FfEtFX45cPDV9nwtW9pNvq9pY7rY3vNd9E86CoNACiHFhuT3hz9p3pkan,1761655172,2025-10-28T12:39:32.000Z,TRANSFER,HiMhS6KajuD6bBeXX8XS5QXbhWAuA5tqXTJUQRkFJDuS,F4AE69Q6tvvrNMiFL4Xr8gDqsGyzWF4vyHSqtyGcasXr,10000000,out,1.9875,9,SOL,1.0
61Kr2Wupe2uzT2J89jFYJALtTDRLJ9MUVjrCKQ4FJLxuebnX9wYKWg9S2bzyAYuzexdT3ZDJEH4fPHDmdvrdQUVn,1761655064,2025-10-28T12:37:44.000Z,TRANSFER,HiMhS6KajuD6bBeXX8XS5QXbhWAuA5tqXTJUQRkFJDuS,BgKHt5Zdmf7FpqXMXaQkr3UAXjh176cpDZBbPmT6xCYB,10000000,out,1.9875,9,SOL,1.0
4DDTca1jx3CeeKh8Nw1ixiQKsUN6Kf6X2kfehqMk7o2YFxxKUeTijTA6yXNDikdBvwYgT2Ar9LRYiB7JQkCSRfQ8,1761651671,2025-10-28T11:41:11.000Z,TRANSFER,HiMhS6KajuD6bBeXX8XS5QXbhWAuA5tqXTJUQRkFJDuS,3K2G8ZxAeoEWMT5nGQDD3sPHmChYJ3Ppo7d5nUJhNaBD,10000000,out,2.0024,9,SOL,1.0
imXjcJAYcUaXYPzas8S8RefDEdtCtECSxKJXoca5JSRQ6hQo2tn1MPES2cKPUTFhcL38Z5tjRRHpCkMAYDVQBGi,1761649452,2025-10-28T11:04:12.000Z,TRANSFER,HiMhS6KajuD6bBeXX8XS5QXbhWAuA5tqXTJUQRkFJDuS,7JDDKFrcc62WBeEaKH7ZrmGaVxA42P8StraKqEkoJJ9r,10000000,out,2.0028,9,SOL,1.0
ev9xQsdU2MrGn1ngixopiwFkYAz7UTTZdJmJGt3bB32yaUu1kd3jkfQH7wVDHvvGZntYjQbRy233ryhry372ZdK,1761649362,2025-10-28T11:02:42.000Z,TRANSFER,HiMhS6KajuD6bBeXX8XS5QXbhWAuA5tqXTJUQRkFJDuS,C1pvDaNjTDYUrNcL8TptX4LWC4s2RkFLAi5pAEhcdVqD,10000000,out,2.0028,9,SOL,1.0
5HwYZJqLk4H7uVXt8ftrEAwSBWWV5UGPQCc7vXq6rXQ46AYCMXZijBDo6mATKh3mhafCtzxGzh2hBaWjhZmQ2U65,1761649313,2025-10-28T11:01:53.000Z,TRANSFER,HiMhS6KajuD6bBeXX8XS5QXbhWAuA5tqXTJUQRkFJDuS,AcxKm5w6GKtKKLv4xJKznzNphd8xEQSpzsLgNk7dzULz,10000000,out,2.0028,9,SOL,1.0
