Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0xab65e5d1e35eda58ca3ef2c5c46fee11e0b8c872339ef1e8db369f233f140418","Success","Transfer","77282445","2025-10-05 08:13:39","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x7c2af7fd9aefa4b2314195f817e9e9b06bbc9a3d77ccfaf71fbcf10261e6428e","Success","Transfer","77281853","2025-10-05 07:52:39","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xdfebc70461b04a387d542e38a9c6784cd59426a1ccca6788d97c66b930a30658","Success","Transfer","77181769","2025-10-02 20:43:03","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xb539265b8fb09df88c6d06429465adf2e802fac7ef62aa7e11372ffdbc81e955","Success","Transfer","77181158","2025-10-02 20:21:25","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xd2f4d9fbfa16e1321fc7d62344ea435d21f3cd286e6a64245040ad727fe32de2","Success","Transfer","77180626","2025-10-02 20:02:35","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0xff20fb036ac1d52f8645ef1b51fe797b301407d6","","8.07677425","$0.00","ERC-20: EТH(EТH)"
"0x5c5acf55b4b13d1a47f53d2162a63b47fcfec8b841b26c3de77330bedb44b8e3","Success","Transfer","77151169","2025-10-02 02:39:15","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x346af4bcaf4f238a4d9285ff396cc9d82b7e3e1636fb797336f0f33736a771a4","Success","Transfer","77149396","2025-10-02 01:36:27","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x804ad370192e21edadcff00acaff381c09dd2f4890377762bb8162829d484fdb","Success","Transfer","77148762","2025-10-02 01:13:59","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x24b9e165d01a1ed8c45d1cf2b72614a5f44ab60cbaea5030184a17cc338c81d3","Success","Transfer","77141851","2025-10-01 21:08:59","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","744.831656","$0.00","ERC-20: ERC20(ERC20)"
"0xa22cd7b9a1e7739a3f8290c2dc82f8ada83de36016395850f2763aef29e3515c","Success","Transfer","77141296","2025-10-01 20:49:21","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0xff20fb036ac1d52f8645ef1b51fe797b301407d6","","2.68054041","$0.00","ERC-20: EТH(EТH)"
"0xe4672b92757fdcce064ab001b953ffa506640e7e5782b8dfa1c5a3af45a8881b","Success","Transfer","77140851","2025-10-01 20:33:35","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","16.22747347","$0.00","ERC-20: ERC20(ERC20)"
"0x83deed996e428650809f67f83788dadf7dfe8b5939eccdd8c25f088face6e4dc","Success","Transfer","77132903","2025-10-01 15:51:53","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","680.808323","$0.00","ERC-20: ERC20(ERC20)"
"0xa4890f9d816d9e439c86a2f4c53a31640617a71790e230786a8b4fb1d791c4b6","Success","Transfer","77122688","2025-10-01 09:50:05","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","2,016.56622575","$0.00","ERC-20: ERC20(ERC20)"
"0x281cafebadbba0635edd4ded8c77cfd7958f98230c0fcafa2ce88dae103adc6c","Success","Transfer","77118580","2025-10-01 07:24:31","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x9a71d8123f5245e44f32dc63ee3cf848ebf5cd1b","","6.53255926","$0.00","ERC-20: EТH(EТH)"
"0x111e6319fb211c3e6bd58a68f01e8102e480fd1d55ed2041bb18bfa09bc5e3aa","Success","Transfer","77104134","2025-09-30 22:52:45","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0xd9ebbc176fc5e892105f7ab8140224bc24429b5c","","120,585.83372934","$0.00","ERC-20: ERC20(ERC20)"
"0xe8c6d66a5f12b5a5bda3d73b0d7e0075a9b918a28f609d04620c91bdc4e1a8af","Success","Transfer","76935917","2025-09-26 19:21:21","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","29.44532616","$0.00","ERC-20: ERC20(ERC20)"
"0x293f048f6c1d20552bf9f2cf092d4fd222ae1d21937260e83b7ba245ee048f7e","Success","Transfer","76935905","2025-09-26 19:20:57","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","224.75432621","$0.00","ERC-20: ERC20(ERC20)"
