"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(POL)","Value_OUT(POL)","CurrentValue @ $0.199566968991853/POL","TxnFee(POL)","TxnFee(USD)","Historical $Price/POL","Status","ErrCode","Method"
"0x25689ffcf9fe8e097c701d6b6869b64b188adb5af9a36745527862d27f99151a","36305925","1669923594","2022-12-01 19:39:54","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x386e0bfd801e4736a0ff79456086a80402f495098c859c6d81c387bcd2b1c5ff","36305926","1669923596","2022-12-01 19:39:56","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0x166b3c329e66653964cefdc592543bee6485e8a5","","0","0.001439992802214059","0.000287374998907945","0.014559927222372","0.00290568054451075","0.91","","","Transfer"
"0x050588460e91c414c515540c88200fb69e602665175efe177850ba1a002a7187","36305926","1669923596","2022-12-01 19:39:56","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.012639936819454877","0.00252251387930713","0.003359983205145","0.000670541664114319","0.91","","","Transfer"
"0x72b6bc79a4f8ae51ec0472870df404a457cec5bffe8895269a0d659f19027a2c","36305926","1669923596","2022-12-01 19:39:56","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x356723ac143d962b64eb69f50a4128b13f3fe1d349421afdb9ea1ceacd929c2c","36305927","1669923598","2022-12-01 19:39:58","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.010719946416487877","0.00213934721409356","0.005279973608112","0.00105370832932789","0.91","","","Transfer"
"0x8649c84659b9e03ebff7b547c50a02f0a2d8a8e5f2e99180dbc541947546c9ae","36305927","1669923598","2022-12-01 19:39:58","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.012639936819454877","0.00252251387930713","0.003359983205145","0.000670541664114319","0.91","","","Transfer"
"0xb2f8c0ebbcc33e884b67565a2569e9ea2864e8d43f9887c924a3c2c82fa3213a","36305927","1669923598","2022-12-01 19:39:58","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x52ff878418e63cd6b1e09328ad487b5745415e0daa880ac2d2dfe5f9fdc7d8b3","36305928","1669923600","2022-12-01 19:40:00","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.010719946416487877","0.00213934721409356","0.005279973608112","0.00105370832932789","0.91","","","Transfer"
"0x31c41f80b378a561e3e3ebeb0b021062bea7e1e4d70f8819eaad02817eaebcce","36305928","1669923600","2022-12-01 19:40:00","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x18ce35f99a6f82bdb86831e9b36565bbc17b3576ba6648f250dd2232811d81ad","36305929","1669923602","2022-12-01 19:40:02","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xb12145bd2aa5a88cc1de7d800a001a4af1090141","","0","0.011199944017234877","0.002235138880398","0.004799976007365","0.000957916663023449","0.91","","","Transfer"
"0xd2d0e6be081a6057ded338795151a945c1bb27485900d6df10f2610744404ab0","36305929","1669923602","2022-12-01 19:40:02","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
